source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,11
0,13
0,14
0,17
0,18
0,19
0,23
0,24
0,26
0,29
0,32
0,34
0,36
0,39
0,40
0,41
0,46
0,56
0,57
0,60
0,61
0,62
0,66
0,70
0,73
0,75
0,79
0,80
0,84
0,93
0,96
0,98
0,102
0,103
0,105
0,114
0,123
0,134
0,146
0,153
0,155
0,157
0,170
0,171
0,174
0,192
0,199
0,207
0,209
0,213
0,216
0,219
0,233
0,243
0,268
0,280
0,288
0,293
0,317
0,340
0,359
0,370
0,371
0,384
0,388
0,392
0,420
0,429
0,456
0,472
0,531
0,555
0,565
0,602
0,618
0,626
0,633
0,638
0,641
0,665
0,673
0,685
0,707
0,727
0,744
0,751
0,777
0,782
0,786
0,817
0,839
0,841
0,845
0,884
0,885
0,891
0,895
0,911
0,922
0,943
0,944
0,948
0,955
0,961
0,987
0,1003
0,1017
0,1049
0,1094
0,1096
0,1125
0,1166
0,1177
0,1191
0,1207
0,1210
0,1239
0,1268
0,1337
0,1358
0,1389
0,1418
0,1449
0,1459
0,1465
0,1524
0,1528
0,1544
0,1567
0,1568
0,1569
0,1573
0,1602
0,1632
0,1665
0,1670
0,1673
0,1679
0,1687
0,1707
0,1723
0,1731
0,1781
0,1788
0,1829
0,1842
0,1848
0,1856
0,1867
0,1892
0,1931
0,1950
0,1951
0,1963
0,1964
0,2036
0,2115
0,2118
0,2155
0,2183
0,2192
0,2194
0,2228
0,2237
0,2242
0,2269
0,2272
0,2289
0,2296
0,2342
0,2410
0,2424
0,2481
0,2501
0,2509
0,2553
0,2574
0,2609
0,2614
0,2625
0,2649
0,2684
0,2710
0,2746
0,2763
0,2796
0,2804
0,2831
0,2836
0,2905
0,2948
0,2963
0,3039
0,3075
0,3174
0,3187
0,3253
0,3283
0,3291
0,3293
0,3301
0,3320
0,3385
0,3403
0,3408
0,3448
0,3457
0,3473
0,3498
0,3508
0,3536
0,3538
0,3583
0,3586
0,3614
0,3638
0,3699
0,3723
0,3795
0,3835
0,3845
0,3918
0,3940
0,3963
0,3977
0,4071
0,4072
0,4102
0,4193
0,4224
0,4264
0,4281
0,4324
0,4347
0,4488
0,4490
0,4505
0,4520
0,4531
0,4661
0,4733
0,4800
0,4821
0,4840
0,4885
0,4913
0,4924
0,4977
0,4994
0,5003
0,5018
0,5042
0,5076
0,5098
0,5192
0,5244
0,5255
0,5323
0,5392
0,5394
0,5454
0,5500
0,5507
0,5598
0,5605
0,5634
0,5656
0,5684
0,5752
0,5781
0,5788
0,6004
0,6138
0,6158
0,6233
0,6250
0,6330
0,6353
0,6424
0,6441
0,6533
0,6564
0,6598
0,6620
0,6666
0,6669
0,6805
0,6847
0,6856
0,6938
0,7126
0,7147
0,7271
0,7358
0,7511
0,7528
0,7578
0,7592
0,7660
0,7671
0,7721
0,7813
0,7814
0,7929
0,7935
0,7949
0,7969
0,7998
0,8083
0,8120
0,8158
0,8199
0,8261
0,8307
0,8337
0,8350
0,8484
0,8519
0,8614
0,8642
0,8896
0,8929
0,8936
0,8937
0,9188
0,9299
0,9358
0,9363
0,9371
0,9415
0,9566
0,9600
0,9637
0,9727
0,9762
0,9855
0,9915
0,9952
0,9998
0,10015
0,10078
0,10132
0,10222
0,10261
0,10272
0,10282
0,10296
0,10386
0,10448
0,10520
0,10588
0,10709
0,10798
0,10799
0,10837
0,10876
0,11075
0,11157
0,11311
0,11403
0,11548
0,11550
0,11594
0,11650
0,11680
0,11884
0,11895
0,12017
0,12041
0,12120
0,12255
0,12352
0,12356
0,12405
0,12417
0,12521
0,12636
0,12729
0,12746
0,12808
0,12817
0,12826
0,12910
0,12974
0,12975
0,13036
0,13094
0,13096
0,13175
0,13182
0,13248
0,13305
0,13561
0,13565
0,13591
0,13662
0,13704
0,13861
0,13892
0,13922
0,14088
0,14145
0,14318
0,14396
0,14446
0,14506
0,14545
0,14621
0,14661
0,14675
0,14829
0,14846
0,14908
0,14932
0,15050
0,15057
0,15302
0,15362
0,15454
0,15456
0,15545
0,15641
0,15690
0,15725
0,15818
0,15879
0,15916
0,15940
0,16041
0,16052
0,16078
0,16097
0,16195
0,16232
0,16304
0,16331
0,16357
0,16569
0,16625
0,16632
0,16656
0,16667
0,16763
0,16789
0,16888
0,17073
0,17207
0,17250
0,17284
0,17389
0,17390
0,17448
0,17449
0,17638
0,17686
0,18004
0,18105
0,18150
0,18211
0,18290
0,18317
0,18390
0,18443
0,18774
0,18787
0,18875
0,19118
0,19119
0,19190
0,19282
0,19355
0,19357
0,19451
0,19509
0,19569
0,19604
0,19649
0,19737
0,19777
0,19995
1,7
1,10
1,12
1,16
1,48
1,52
1,61
1,68
1,86
1,103
1,104
1,105
1,110
1,147
1,168
1,183
1,204
1,215
1,261
1,291
1,347
1,357
1,365
1,381
1,383
1,389
1,446
1,461
1,485
1,533
1,553
1,569
1,579
1,601
1,694
1,714
1,751
1,780
1,870
1,884
1,1121
1,1180
1,1323
1,1445
1,1454
1,1495
1,1565
1,1575
1,1592
1,1653
1,1732
1,1796
1,2063
1,2330
1,2381
1,2422
1,2486
1,2528
1,2531
1,2549
1,2551
1,2590
1,2651
1,2660
1,2728
1,2734
1,2774
1,2788
1,2800
1,2859
1,2880
1,2950
1,2999
1,3165
1,3217
1,3444
1,3555
1,3583
1,3609
1,3619
1,3668
1,3720
1,3770
1,4187
1,4205
1,4223
1,4780
1,4786
1,5003
1,5043
1,5292
1,5329
1,5411
1,5458
1,5504
1,5799
1,5875
1,5921
1,5951
1,5978
1,6039
1,6130
1,6146
1,6148
1,6153
1,6241
1,6289
1,6315
1,6585
1,6606
1,6608
1,6654
1,6780
1,6893
1,6898
1,7177
1,7212
1,7241
1,7252
1,7422
1,7451
1,7476
1,7511
1,7587
1,7588
1,7591
1,7886
1,8119
1,8309
1,8323
1,8444
1,8472
1,8536
1,8637
1,8659
1,8661
1,8770
1,8845
1,8912
1,8988
1,9046
1,9154
1,9324
1,9530
1,9552
1,9908
1,9938
1,10051
1,10283
1,10443
1,10479
1,10723
1,10799
1,10804
1,11025
1,11083
1,11216
1,11269
1,11369
1,11413
1,11543
1,11558
1,11673
1,11694
1,11961
1,12061
1,12082
1,12139
1,12219
1,12231
1,12425
1,12601
1,12865
1,13078
1,13107
1,13334
1,13343
1,13370
1,13492
1,13611
1,13672
1,13723
1,14130
1,14222
1,14338
1,14477
1,14594
1,14766
1,14873
1,14888
1,15059
1,15117
1,15178
1,15225
1,15383
1,15519
1,15643
1,15644
1,16331
1,16592
1,16641
1,16745
1,16781
1,16802
1,17352
1,17366
1,17478
1,17816
1,17821
1,17995
1,18231
1,18276
1,18322
1,18333
1,18427
1,18518
1,18595
1,18743
1,18748
1,18755
1,19510
1,19659
2,6
2,7
2,8
2,9
2,16
2,29
2,48
2,93
2,113
2,135
2,168
2,201
2,266
2,298
2,307
2,309
2,390
2,401
2,405
2,484
2,513
2,546
2,557
2,604
2,694
